frame,tl_x,tl_y,tl_loss,tr_x,tr_y,tr_loss,bl_x,bl_y,bl_loss,br_x,br_y,br_loss,processing_time_ms
143,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
144,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
145,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
146,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
147,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
148,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
149,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
150,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
151,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
152,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
153,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
154,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
155,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,46
156,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,40
157,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
158,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
159,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
160,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
161,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
162,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
163,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
164,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
165,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,39
166,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,42
167,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,42
168,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,92
169,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,37
170,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,64
171,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,53
172,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,44
173,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,40
174,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,37
175,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,40
176,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,38
177,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
178,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,62
179,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,37
180,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
181,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
182,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
183,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
184,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
185,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
186,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
187,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
188,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
189,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
190,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
